chrom	centr_start	centr_end	chrom_length
chrom_1	151465	151582	230218
chrom_2	238207	238323	813184
chrom_3	114385	114501	316620
chrom_4	449711	449821	1531933
chrom_5	151987	152104	576874
chrom_6	148510	148627	270161
chrom_7	497038	496920	1090940
chrom_8	105703	105586	562643
chrom_9	355629	355745	439888
chrom_10	436425	436307	745751
chrom_11	440246	440129	666816
chrom_12	150947	150828	1078177
chrom_13	268031	268149	924431
chrom_14	628758	628875	784333
chrom_15	326702	326584	1091291
chrom_16	555957	556073	948066
